location,displayName
"{'latitude': 25.760552699999998, 'longitude': -80.4018306}","{'text': 'Gran Via Apartments', 'languageCode': 'en'}"
"{'latitude': 25.7532976, 'longitude': -80.3948553}","{'text': 'Lago Club', 'languageCode': 'en'}"
"{'latitude': 25.775995899999998, 'longitude': -80.3814077}","{'text': 'Legacy Palm Isle', 'languageCode': 'en'}"
"{'latitude': 25.7503986, 'longitude': -80.3910903}","{'text': 'International Club Apartments', 'languageCode': 'en'}"
"{'latitude': 25.7685666, 'longitude': -80.3822727}","{'text': 'Villa Hermosa Apartments', 'languageCode': 'en'}"
"{'latitude': 25.7761402, 'longitude': -80.37872569999999}","{'text': '7 West', 'languageCode': 'en'}"
"{'latitude': 25.7561169, 'longitude': -80.365645}","{'text': 'Advenir at University Park', 'languageCode': 'en'}"
"{'latitude': 25.733636999999998, 'longitude': -80.37516099999999}","{'text': 'Westwood Apartments', 'languageCode': 'en'}"
"{'latitude': 25.7541347, 'longitude': -80.3917917}","{'text': 'Vista Del Lago IV', 'languageCode': 'en'}"
"{'latitude': 25.7652015, 'longitude': -80.3720946}","{'text': '4th Street Commons Apartments', 'languageCode': 'en'}"
"{'latitude': 25.755649899999998, 'longitude': -80.393025}","{'text': 'Antonio Santana', 'languageCode': 'en'}"
"{'latitude': 25.7798315, 'longitude': -80.3408963}","{'text': 'Birchwoods Apartments', 'languageCode': 'en'}"
"{'latitude': 25.749700299999997, 'longitude': -80.35047329999999}","{'text': 'Green Briar West Apartments', 'languageCode': 'en'}"
"{'latitude': 25.8199133, 'longitude': -80.3722873}","{'text': 'Doral Terrace Apartments', 'languageCode': 'en'}"
"{'latitude': 25.7692484, 'longitude': -80.38287749999999}","{'text': 'Los Robles Apartment', 'languageCode': 'en'}"
"{'latitude': 25.7329764, 'longitude': -80.36007939999999}","{'text': 'Spring Tree Apartments', 'languageCode': 'en'}"
"{'latitude': 25.8224284, 'longitude': -80.3822417}","{'text': 'Doral West Apartment Homes', 'languageCode': 'en'}"
"{'latitude': 25.779883899999998, 'longitude': -80.3454991}","{'text': 'Town Apartments', 'languageCode': 'en'}"
"{'latitude': 25.762237, 'longitude': -80.3720802}","{'text': '109 Tower', 'languageCode': 'en'}"
"{'latitude': 25.698778599999997, 'longitude': -80.3669089}","{'text': 'Sunset Gardens', 'languageCode': 'en'}"
"{'latitude': 25.775995899999998, 'longitude': -80.3814077}","{'text': 'Legacy Palm Isle', 'languageCode': 'en'}"
"{'latitude': 25.7761402, 'longitude': -80.37872569999999}","{'text': '7 West', 'languageCode': 'en'}"
"{'latitude': 25.7685666, 'longitude': -80.3822727}","{'text': 'Villa Hermosa Apartments', 'languageCode': 'en'}"
"{'latitude': 25.8199133, 'longitude': -80.3722873}","{'text': 'Doral Terrace Apartments', 'languageCode': 'en'}"
"{'latitude': 25.8128948, 'longitude': -80.36991019999999}","{'text': 'The Point at Doral', 'languageCode': 'en'}"
"{'latitude': 25.8224284, 'longitude': -80.3822417}","{'text': 'Doral West Apartment Homes', 'languageCode': 'en'}"
"{'latitude': 25.771409499999997, 'longitude': -80.35790519999999}","{'text': 'Paraiso at Fountain Square', 'languageCode': 'en'}"
"{'latitude': 25.7798315, 'longitude': -80.3408963}","{'text': 'Birchwoods Apartments', 'languageCode': 'en'}"
"{'latitude': 25.7561169, 'longitude': -80.365645}","{'text': 'Advenir at University Park', 'languageCode': 'en'}"
"{'latitude': 25.7652015, 'longitude': -80.3720946}","{'text': '4th Street Commons Apartments', 'languageCode': 'en'}"
