location,displayName
"{'latitude': 25.8276197, 'longitude': -80.27984959999999}","{'text': 'Hialeah Housing Authority', 'languageCode': 'en'}"
"{'latitude': 25.6854895, 'longitude': -80.3812186}","{'text': 'Catholic Housing Management', 'languageCode': 'en'}"
"{'latitude': 25.7834833, 'longitude': -80.3230931}","{'text': 'Housing Finance Authority', 'languageCode': 'en'}"
"{'latitude': 25.8700309, 'longitude': -80.3336706}","{'text': 'Hialeah Housing Authority', 'languageCode': 'en'}"
"{'latitude': 25.824162599999998, 'longitude': -80.2797373}","{'text': 'Hialeah Housing Authority Palm', 'languageCode': 'en'}"
"{'latitude': 25.732758099999998, 'longitude': -80.3547286}","{'text': 'Dade County Housing Finance', 'languageCode': 'en'}"
"{'latitude': 25.8218231, 'longitude': -80.23240659999999}","{'text': 'Miami-Dade County Public Housing and Community Development', 'languageCode': 'en'}"
"{'latitude': 25.7765981, 'longitude': -80.2149101}","{'text': 'Neighborhood Housing Services of South Florida', 'languageCode': 'en'}"
"{'latitude': 25.891591899999998, 'longitude': -80.3030297}","{'text': 'Hialeah Housing Authority', 'languageCode': 'en'}"
"{'latitude': 25.7835191, 'longitude': -80.32310269999999}","{'text': 'Miami Dade Affordable Housing Foundation', 'languageCode': 'en'}"
"{'latitude': 25.7813682, 'longitude': -80.19671629999999}","{'text': 'Miami-Dade County Public Housing and Community Development', 'languageCode': 'en'}"
"{'latitude': 25.7707595, 'longitude': -80.13903250000001}","{'text': 'Housing Authority of the City of Miami Beach', 'languageCode': 'en'}"
"{'latitude': 25.8500935, 'longitude': -80.1936312}","{'text': 'Little Haiti Housing Association Inc', 'languageCode': 'en'}"
"{'latitude': 25.4942339, 'longitude': -80.4509151}","{'text': 'Homestead Housing Authority', 'languageCode': 'en'}"
"{'latitude': 25.843012700000003, 'longitude': -80.2916918}","{'text': 'Hialeah Housing Authority', 'languageCode': 'en'}"
"{'latitude': 25.757272699999998, 'longitude': -80.3674316}","{'text': 'Palmer House', 'languageCode': 'en'}"
"{'latitude': 25.8034319, 'longitude': -80.2254755}","{'text': 'Dade County Housing Agency', 'languageCode': 'en'}"
"{'latitude': 26.0393534, 'longitude': -80.2349632}","{'text': 'Hollywood Housing Authority', 'languageCode': 'en'}"
"{'latitude': 25.7644435, 'longitude': -80.370113}","{'text': 'Sweetwater Voa Elderly Housing', 'languageCode': 'en'}"
"{'latitude': 25.7807751, 'longitude': -80.21835750000001}","{'text': 'Miami dade Public Housing and Community Development Applicant Leasing Center', 'languageCode': 'en'}"
"{'latitude': 25.8276197, 'longitude': -80.27984959999999}","{'text': 'Hialeah Housing Authority', 'languageCode': 'en'}"
"{'latitude': 25.7834833, 'longitude': -80.3230931}","{'text': 'Housing Finance Authority', 'languageCode': 'en'}"
"{'latitude': 25.8700309, 'longitude': -80.3336706}","{'text': 'Hialeah Housing Authority', 'languageCode': 'en'}"
"{'latitude': 25.824162599999998, 'longitude': -80.2797373}","{'text': 'Hialeah Housing Authority Palm', 'languageCode': 'en'}"
"{'latitude': 25.6854895, 'longitude': -80.3812186}","{'text': 'Catholic Housing Management', 'languageCode': 'en'}"
"{'latitude': 25.7973867, 'longitude': -80.3606673}","{'text': 'Beverly Palm Shared Housing', 'languageCode': 'en'}"
"{'latitude': 25.891591899999998, 'longitude': -80.3030297}","{'text': 'Hialeah Housing Authority', 'languageCode': 'en'}"
"{'latitude': 25.8218231, 'longitude': -80.23240659999999}","{'text': 'Miami-Dade County Public Housing and Community Development', 'languageCode': 'en'}"
"{'latitude': 25.7835191, 'longitude': -80.32310269999999}","{'text': 'Miami Dade Affordable Housing Foundation', 'languageCode': 'en'}"
"{'latitude': 25.7765981, 'longitude': -80.2149101}","{'text': 'Neighborhood Housing Services of South Florida', 'languageCode': 'en'}"
"{'latitude': 25.7813682, 'longitude': -80.19671629999999}","{'text': 'Miami-Dade County Public Housing and Community Development', 'languageCode': 'en'}"
