location,displayName
"{'latitude': 25.769607999999998, 'longitude': -80.408951}","{'text': 'NW 132 Av & NW 2 St', 'languageCode': 'en'}"
"{'latitude': 25.735682999999998, 'longitude': -80.37565699999999}","{'text': 'SW 112 Av & SW 36 St', 'languageCode': 'en'}"
"{'latitude': 25.760817, 'longitude': -80.40522299999999}","{'text': 'SW 8 St & SW 129 Pl', 'languageCode': 'en'}"
"{'latitude': 25.7148675, 'longitude': -80.2770295}","{'text': 'University Station', 'languageCode': 'en'}"
"{'latitude': 25.795153, 'longitude': -80.27705399999999}","{'text': 'MIA & Lower Level Ramp', 'languageCode': 'en'}"
"{'latitude': 25.6920786, 'longitude': -80.30490309999999}","{'text': 'Dadeland North', 'languageCode': 'en'}"
"{'latitude': 25.775864, 'longitude': -80.19609299999999}","{'text': 'Government Center Station', 'languageCode': 'en'}"
"{'latitude': 25.773094399999998, 'longitude': -80.1872841}","{'text': 'Bayfront Park Station', 'languageCode': 'en'}"
"{'latitude': 25.766887999999998, 'longitude': -80.192121}","{'text': 'Eighth Street Station', 'languageCode': 'en'}"
"{'latitude': 25.8124526, 'longitude': -80.2300576}","{'text': 'Earlington Heights', 'languageCode': 'en'}"
"{'latitude': 25.8323951, 'longitude': -80.24115019999999}","{'text': 'Dr. Martin Luther King Jr', 'languageCode': 'en'}"
"{'latitude': 25.843367399999998, 'longitude': -80.323792}","{'text': 'Palmetto Station Rail Southbound', 'languageCode': 'en'}"
"{'latitude': 25.6848174, 'longitude': -80.3138432}","{'text': 'Dadeland South Metrorail Station', 'languageCode': 'en'}"
"{'latitude': 25.784521599999998, 'longitude': -80.3685027}","{'text': 'NW 107 Av & NW 12 St', 'languageCode': 'en'}"
"{'latitude': 25.700518, 'longitude': -80.379358}","{'text': 'SW 72 St & Approx # 11550', 'languageCode': 'en'}"
"{'latitude': 25.715251000000002, 'longitude': -80.375301}","{'text': 'SW 56 St & SW 112 Av', 'languageCode': 'en'}"
"{'latitude': 25.691323999999998, 'longitude': -80.30598400000001}","{'text': 'Dadeland North Bay 1', 'languageCode': 'en'}"
"{'latitude': 25.8411641, 'longitude': -80.2790517}","{'text': 'Hialeah', 'languageCode': 'en'}"
"{'latitude': 25.839838, 'longitude': -80.301051}","{'text': 'Okeechobee Metrorail Station', 'languageCode': 'en'}"
"{'latitude': 25.7398154, 'longitude': -80.2388589}","{'text': 'Coconut Grove', 'languageCode': 'en'}"
"{'latitude': 25.789695, 'longitude': -80.376825}","{'text': 'NW 17 St & NW 112 Av', 'languageCode': 'en'}"
