location,displayName
"{'latitude': 25.8373128, 'longitude': -80.28229379999999}","{'text': 'Neighborhood Food Market', 'languageCode': 'en'}"
"{'latitude': 25.741661, 'longitude': -80.43326560000001}","{'text': 'Walmart Neighborhood Market', 'languageCode': 'en'}"
"{'latitude': 25.7016851, 'longitude': -80.3413861}","{'text': 'Neighborhood Home Health Services', 'languageCode': 'en'}"
"{'latitude': 26.0099399, 'longitude': -80.24004459999999}","{'text': 'Neighborhood Food Stores', 'languageCode': 'en'}"
"{'latitude': 25.747684, 'longitude': -80.3858614}","{'text': 'Office of Neighborhood Complia', 'languageCode': 'en'}"
"{'latitude': 25.725828999999997, 'longitude': -80.39059329999999}","{'text': 'Neighborhood Fish Farm', 'languageCode': 'en'}"
"{'latitude': 25.891294499999997, 'longitude': -80.3316029}","{'text': 'Neighborhood Cuban Bakery', 'languageCode': 'en'}"
"{'latitude': 25.7474386, 'longitude': -80.3858194}","{'text': 'Miami-Dade County Neighborhood Compliance', 'languageCode': 'en'}"
"{'latitude': 25.760133900000003, 'longitude': -80.4048117}","{'text': 'U-Haul Neighborhood Dealer', 'languageCode': 'en'}"
"{'latitude': 25.827432299999998, 'longitude': -80.3719437}","{'text': 'The Neighborhood Cleaners', 'languageCode': 'en'}"
"{'latitude': 25.8659888, 'longitude': -80.2915366}","{'text': 'Walmart Neighborhood Market', 'languageCode': 'en'}"
"{'latitude': 25.881133, 'longitude': -80.3523793}","{'text': 'Walmart Neighborhood Market', 'languageCode': 'en'}"
"{'latitude': 25.926700099999998, 'longitude': -80.26212509999999}","{'text': 'Walmart Neighborhood Market', 'languageCode': 'en'}"
"{'latitude': 26.163367899999997, 'longitude': -80.2316106}","{'text': 'Neighborhood Market', 'languageCode': 'en'}"
"{'latitude': 25.704136700000003, 'longitude': -80.2715072}","{'text': 'Sunset Acres', 'languageCode': 'en'}"
"{'latitude': 25.9398838, 'longitude': -80.2796149}","{'text': 'Neighborhood Tires, Inc.', 'languageCode': 'en'}"
"{'latitude': 25.673642599999997, 'longitude': -80.28091289999999}","{'text': 'Snapper', 'languageCode': 'en'}"
"{'latitude': 25.751740899999998, 'longitude': -80.27626459999999}","{'text': 'Neighborhood Tennis', 'languageCode': 'en'}"
"{'latitude': 25.5206961, 'longitude': -80.4233515}","{'text': 'Walmart Neighborhood Market', 'languageCode': 'en'}"
"{'latitude': 25.692452799999998, 'longitude': -80.4463083}","{'text': 'West End', 'languageCode': 'en'}"
"{'latitude': 25.8373128, 'longitude': -80.28229379999999}","{'text': 'Neighborhood Food Market', 'languageCode': 'en'}"
"{'latitude': 26.0099399, 'longitude': -80.24004459999999}","{'text': 'Neighborhood Food Stores', 'languageCode': 'en'}"
"{'latitude': 25.741661, 'longitude': -80.43326560000001}","{'text': 'Walmart Neighborhood Market', 'languageCode': 'en'}"
"{'latitude': 25.827432299999998, 'longitude': -80.3719437}","{'text': 'The Neighborhood Cleaners', 'languageCode': 'en'}"
"{'latitude': 25.891294499999997, 'longitude': -80.3316029}","{'text': 'Neighborhood Cuban Bakery', 'languageCode': 'en'}"
"{'latitude': 25.8659888, 'longitude': -80.2915366}","{'text': 'Walmart Neighborhood Market', 'languageCode': 'en'}"
