location,displayName
"{'latitude': 25.747896, 'longitude': -80.3862666}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.784790299999997, 'longitude': -80.3352154}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.774920899999998, 'longitude': -80.2642152}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.792106099999998, 'longitude': -80.2767459}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.686578299999997, 'longitude': -80.36430539999999}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.7329913, 'longitude': -80.32939449999999}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.799229399999998, 'longitude': -80.2638127}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.7957082, 'longitude': -80.27933089999999}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.7884337, 'longitude': -80.2122242}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.796549000000002, 'longitude': -80.27561399999999}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.7658453, 'longitude': -80.2210222}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.692958299999997, 'longitude': -80.30418499999999}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.7413998, 'longitude': -80.294427}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.8215641, 'longitude': -80.28225890000002}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.776281599999997, 'longitude': -80.1950256}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.8109011, 'longitude': -80.38192839999999}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.8100374, 'longitude': -80.3156547}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.7783287, 'longitude': -80.2902093}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.792106099999998, 'longitude': -80.2767459}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.886402000000004, 'longitude': -80.325836}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.774920899999998, 'longitude': -80.2642152}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.799229399999998, 'longitude': -80.2638127}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.7957082, 'longitude': -80.27933089999999}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.7884337, 'longitude': -80.2122242}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.796549000000002, 'longitude': -80.27561399999999}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.7943018, 'longitude': -80.2699447}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.7658453, 'longitude': -80.2210222}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.79494, 'longitude': -80.22418309999999}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.8082601, 'longitude': -80.27526399999999}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.8092904, 'longitude': -80.1949915}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.792313099999998, 'longitude': -80.2104813}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.8215641, 'longitude': -80.28225890000002}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.776281599999997, 'longitude': -80.1950256}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.886402000000004, 'longitude': -80.325836}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.8814928, 'longitude': -80.2917372}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.913688099999998, 'longitude': -80.3283216}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.898492899999997, 'longitude': -80.378783}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.774920899999998, 'longitude': -80.2642152}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.943729899999997, 'longitude': -80.3075003}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.799229399999998, 'longitude': -80.2638127}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.792106099999998, 'longitude': -80.2767459}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.8215641, 'longitude': -80.28225890000002}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.7884337, 'longitude': -80.2122242}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.776281599999997, 'longitude': -80.1950256}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.886402000000004, 'longitude': -80.325836}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.943729899999997, 'longitude': -80.3075003}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.9003853, 'longitude': -80.30754379999999}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.886402000000004, 'longitude': -80.325836}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.913688099999998, 'longitude': -80.3283216}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.774920899999998, 'longitude': -80.2642152}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.792106099999998, 'longitude': -80.2767459}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.7884337, 'longitude': -80.2122242}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.799229399999998, 'longitude': -80.2638127}","{'text': 'Subway', 'languageCode': 'en'}"
"{'latitude': 25.8092904, 'longitude': -80.1949915}","{'text': 'Subway', 'languageCode': 'en'}"
