location,displayName
"{'latitude': 25.781644399999998, 'longitude': -80.2881395}","{'text': 'Starbucks', 'languageCode': 'usa'}"
"{'latitude': 25.7329942, 'longitude': -80.30397049999999}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.7731212, 'longitude': -80.263995}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.749238300000002, 'longitude': -80.26054359999999}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.735687, 'longitude': -80.321282}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.754913400000003, 'longitude': -80.259216}","{'text': 'Starbucks', 'languageCode': 'usa'}"
"{'latitude': 25.794688999999998, 'longitude': -80.284066}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.761689399999998, 'longitude': -80.3331694}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.7932193, 'longitude': -80.2645983}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.7932258, 'longitude': -80.2742719}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.7466433, 'longitude': -80.3353887}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.7862293, 'longitude': -80.3372734}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.791905099999997, 'longitude': -80.2767059}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.7983699, 'longitude': -80.27338639999999}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.796581099999997, 'longitude': -80.3247597}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.7164829, 'longitude': -80.27411099999999}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.750556399999997, 'longitude': -80.2380345}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.7256592, 'longitude': -80.2631675}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.808797199999997, 'longitude': -80.3153337}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.779837699999998, 'longitude': -80.2587851}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.791905099999997, 'longitude': -80.2767059}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.7932258, 'longitude': -80.2742719}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.794688999999998, 'longitude': -80.284066}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.781644399999998, 'longitude': -80.2881395}","{'text': 'Starbucks', 'languageCode': 'usa'}"
"{'latitude': 25.7983699, 'longitude': -80.27338639999999}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.7932193, 'longitude': -80.2645983}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.7731212, 'longitude': -80.263995}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.779837699999998, 'longitude': -80.2587851}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.8219113, 'longitude': -80.2812962}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.808797199999997, 'longitude': -80.3153337}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.754913400000003, 'longitude': -80.259216}","{'text': 'Starbucks', 'languageCode': 'usa'}"
"{'latitude': 25.749238300000002, 'longitude': -80.26054359999999}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.750556399999997, 'longitude': -80.2380345}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.796581099999997, 'longitude': -80.3247597}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.7862293, 'longitude': -80.3372734}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.7329942, 'longitude': -80.30397049999999}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.761689399999998, 'longitude': -80.3331694}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.7919159, 'longitude': -80.2107328}","{'text': 'Starbucks', 'languageCode': 'usa'}"
"{'latitude': 25.765793, 'longitude': -80.2227638}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.7466433, 'longitude': -80.3353887}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.8219113, 'longitude': -80.2812962}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.7983699, 'longitude': -80.27338639999999}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.7932193, 'longitude': -80.2645983}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.7932258, 'longitude': -80.2742719}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.794688999999998, 'longitude': -80.284066}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.791905099999997, 'longitude': -80.2767059}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.7731212, 'longitude': -80.263995}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.781644399999998, 'longitude': -80.2881395}","{'text': 'Starbucks', 'languageCode': 'usa'}"
"{'latitude': 25.808797199999997, 'longitude': -80.3153337}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.779837699999998, 'longitude': -80.2587851}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.8670018, 'longitude': -80.29340409999999}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.7919159, 'longitude': -80.2107328}","{'text': 'Starbucks', 'languageCode': 'usa'}"
"{'latitude': 25.808518, 'longitude': -80.192516}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.8534439, 'longitude': -80.3175493}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.809756, 'longitude': -80.193585}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.750556399999997, 'longitude': -80.2380345}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.754913400000003, 'longitude': -80.259216}","{'text': 'Starbucks', 'languageCode': 'usa'}"
"{'latitude': 25.796581099999997, 'longitude': -80.3247597}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.762752, 'longitude': -80.192287}","{'text': 'Starbucks', 'languageCode': 'en'}"
"{'latitude': 25.749238300000002, 'longitude': -80.26054359999999}","{'text': 'Starbucks', 'languageCode': 'en'}"
