location,displayName,latitude,longitude,cluster
"{'latitude': 25.7586752, 'longitude': -80.30337949999999}","{'text': 'Ludlam Plaza Apartments', 'languageCode': 'en'}",25.7586752,-80.30337949999999,45
"{'latitude': 25.7572051, 'longitude': -80.30346399999999}","{'text': 'Windsor House Apartments', 'languageCode': 'en'}",25.7572051,-80.30346399999999,45
"{'latitude': 25.6924852, 'longitude': -80.3060802}","{'text': 'Green House Apartments, Dadeland', 'languageCode': 'en'}",25.6924852,-80.3060802,0
"{'latitude': 25.6924749, 'longitude': -80.3053463}","{'text': 'Motion at Dadeland', 'languageCode': 'en'}",25.6924749,-80.3053463,0
"{'latitude': 25.688150999999998, 'longitude': -80.31263799999999}","{'text': 'Metropolis Dadeland Apartments', 'languageCode': 'en'}",25.688150999999998,-80.31263799999999,1
"{'latitude': 25.8241725, 'longitude': -80.22429210000001}","{'text': 'Liberty Village', 'languageCode': 'en'}",25.8241725,-80.22429210000001,2
"{'latitude': 25.8795704, 'longitude': -80.1678924}","{'text': 'Biscayne 112', 'languageCode': 'en'}",25.8795704,-80.1678924,3
"{'latitude': 25.9249291, 'longitude': -80.15904599999999}","{'text': 'NE 162nd Apartments', 'languageCode': 'en'}",25.9249291,-80.15904599999999,40
"{'latitude': 25.7406983, 'longitude': -80.2394295}","{'text': 'Grove Central Residences', 'languageCode': 'en'}",25.7406983,-80.2394295,18
"{'latitude': 25.7331324, 'longitude': -80.23478419999999}","{'text': 'Double Threat Towers', 'languageCode': 'en'}",25.7331324,-80.23478419999999,26
"{'latitude': 25.765631, 'longitude': -80.2316866}","{'text': 'Vista Alegre Apartments', 'languageCode': 'en'}",25.765631,-80.2316866,46
"{'latitude': 25.765568, 'longitude': -80.1975124}","{'text': 'Vista Grande Apartments', 'languageCode': 'en'}",25.765568,-80.1975124,4
"{'latitude': 25.7887319, 'longitude': -80.19330409999999}","{'text': 'Square Station Apartments', 'languageCode': 'en'}",25.7887319,-80.19330409999999,5
"{'latitude': 25.924260099999998, 'longitude': -80.1233329}","{'text': 'Marina Del Mar', 'languageCode': 'en'}",25.924260099999998,-80.1233329,6
"{'latitude': 25.9240688, 'longitude': -80.1216598}","{'text': 'Apto Miami', 'languageCode': 'es'}",25.9240688,-80.1216598,6
"{'latitude': 25.9232597, 'longitude': -80.1218135}","{'text': 'Miami apartamento', 'languageCode': 'en'}",25.9232597,-80.1218135,6
"{'latitude': 25.7642997, 'longitude': -80.19412729999999}","{'text': 'Camden Brickell Apartments', 'languageCode': 'en'}",25.7642997,-80.19412729999999,7
"{'latitude': 25.7646002, 'longitude': -80.19694319999999}","{'text': 'West Brickell Apartments in Miami', 'languageCode': 'en'}",25.7646002,-80.19694319999999,4
"{'latitude': 25.7645993, 'longitude': -80.1960368}","{'text': 'Brickell View Terrace', 'languageCode': 'en'}",25.7645993,-80.1960368,7
"{'latitude': 25.7621401, 'longitude': -80.198139}","{'text': 'City Crossings Apartments', 'languageCode': 'en'}",25.7621401,-80.198139,8
"{'latitude': 25.7616732, 'longitude': -80.1987626}","{'text': 'Legacy at Brickell', 'languageCode': 'en'}",25.7616732,-80.1987626,8
"{'latitude': 25.766155599999998, 'longitude': -80.1966382}","{'text': 'West Brickell View', 'languageCode': 'en'}",25.766155599999998,-80.1966382,4
"{'latitude': 25.763593, 'longitude': -80.1958883}","{'text': 'Brickell Ridge Apartments', 'languageCode': 'en'}",25.763593,-80.1958883,7
"{'latitude': 25.7626608, 'longitude': -80.1977278}","{'text': 'Maizon Brickell', 'languageCode': 'en'}",25.7626608,-80.1977278,8
"{'latitude': 25.7650357, 'longitude': -80.1979455}","{'text': 'Joe Moretti Apartments in Miami', 'languageCode': 'en'}",25.7650357,-80.1979455,4
"{'latitude': 25.763212199999998, 'longitude': -80.1948623}","{'text': 'Axis apartments Brickell', 'languageCode': 'en'}",25.763212199999998,-80.1948623,7
"{'latitude': 25.7616798, 'longitude': -80.1917902}","{'text': 'Liberty square apartments', 'languageCode': 'en'}",25.7616798,-80.1917902,9
"{'latitude': 25.766456899999998, 'longitude': -80.19673890000001}","{'text': 'City Heights, Miami, FL', 'languageCode': 'en'}",25.766456899999998,-80.19673890000001,4
"{'latitude': 25.7777189, 'longitude': -80.1897405}","{'text': 'Alea Miami', 'languageCode': 'en'}",25.7777189,-80.1897405,10
"{'latitude': 25.870191799999997, 'longitude': -80.123182}","{'text': '331 Apartments', 'languageCode': 'en'}",25.870191799999997,-80.123182,11
"{'latitude': 25.8701527, 'longitude': -80.12258039999999}","{'text': 'Harding Village', 'languageCode': 'en'}",25.8701527,-80.12258039999999,11
"{'latitude': 25.869616699999998, 'longitude': -80.1226849}","{'text': 'Serenade Miami', 'languageCode': 'en'}",25.869616699999998,-80.1226849,11
"{'latitude': 25.8664615, 'longitude': -80.1224981}","{'text': 'Apartamentos en Miami', 'languageCode': 'en'}",25.8664615,-80.1224981,12
"{'latitude': 25.868534, 'longitude': -80.12207389999999}","{'text': 'Ceasars Apartments Buildings', 'languageCode': 'en'}",25.868534,-80.12207389999999,13
"{'latitude': 25.8695649, 'longitude': -80.12345359999999}","{'text': 'Terry Beach Apartments', 'languageCode': 'en'}",25.8695649,-80.12345359999999,11
"{'latitude': 25.8672956, 'longitude': -80.12202479999999}","{'text': 'Miracle Apartments', 'languageCode': 'en'}",25.8672956,-80.12202479999999,12
"{'latitude': 25.865897999999998, 'longitude': -80.1224668}","{'text': 'North Beach Property Management', 'languageCode': 'en'}",25.865897999999998,-80.1224668,12
"{'latitude': 25.869773799999997, 'longitude': -80.1227005}","{'text': 'THE BEACH CORNER', 'languageCode': 'en'}",25.869773799999997,-80.1227005,11
"{'latitude': 25.7639386, 'longitude': -80.1934826}","{'text': 'Camden Brickell Apartments', 'languageCode': 'en'}",25.7639386,-80.1934826,7
"{'latitude': 25.7843864, 'longitude': -80.1313435}","{'text': 'Alamac Apartments', 'languageCode': 'en'}",25.7843864,-80.1313435,14
"{'latitude': 25.8135115, 'longitude': -80.1224196}","{'text': ""King Richard's Apartments"", 'languageCode': 'en'}",25.8135115,-80.1224196,15
"{'latitude': 25.814116100000003, 'longitude': -80.1296208}","{'text': 'Miami Apartment FInders', 'languageCode': 'en'}",25.814116100000003,-80.1296208,43
"{'latitude': 25.7761581, 'longitude': -80.1398804}","{'text': 'Lulav Square Apartments', 'languageCode': 'en'}",25.7761581,-80.1398804,23
"{'latitude': 25.7731459, 'longitude': -80.1335273}","{'text': 'Balmoral Apartments', 'languageCode': 'en'}",25.7731459,-80.1335273,36
"{'latitude': 25.778620399999998, 'longitude': -80.1337508}","{'text': 'Blackstone Apartments', 'languageCode': 'en'}",25.778620399999998,-80.1337508,27
"{'latitude': 25.900050000000004, 'longitude': -80.25294099999999}","{'text': 'Opa-Locka Tri-Rail Station', 'languageCode': 'en'}",25.900050000000004,-80.25294099999999,16
"{'latitude': 25.778111, 'longitude': -80.287713}","{'text': 'NW 7 St & NW 57 Av', 'languageCode': 'en'}",25.778111,-80.287713,17
"{'latitude': 25.766403999999998, 'longitude': -80.23098900000001}","{'text': 'SW 7 St & SW 22 Av', 'languageCode': 'en'}",25.766403999999998,-80.23098900000001,46
"{'latitude': 25.739776199999998, 'longitude': -80.23934919999999}","{'text': 'Coconut Grove Sta & 2780 SW 27 Av', 'languageCode': 'en'}",25.739776199999998,-80.23934919999999,18
"{'latitude': 25.764317, 'longitude': -80.195318}","{'text': 'Brickell Station (East Side)', 'languageCode': 'en'}",25.764317,-80.195318,7
"{'latitude': 25.7643604, 'longitude': -80.1931754}","{'text': 'S Miami a/SE 10 S', 'languageCode': 'en'}",25.7643604,-80.1931754,7
"{'latitude': 25.764872099999998, 'longitude': -80.1955291}","{'text': 'Brickell Station (West Side)', 'languageCode': 'en'}",25.764872099999998,-80.1955291,7
"{'latitude': 25.813276, 'longitude': -80.122939}","{'text': 'Miami Beach', 'languageCode': 'en'}",25.813276,-80.122939,15
"{'latitude': 25.7751198, 'longitude': -80.13368129999999}","{'text': 'Base Valet Parque', 'languageCode': 'en'}",25.7751198,-80.13368129999999,19
"{'latitude': 25.8001471, 'longitude': -80.2607209}","{'text': 'Rent Smart Car Rental', 'languageCode': 'en'}",25.8001471,-80.2607209,20
"{'latitude': 25.7998485, 'longitude': -80.26091}","{'text': 'Drive A Rent a Car Miami', 'languageCode': 'en'}",25.7998485,-80.26091,20
"{'latitude': 25.7999397, 'longitude': -80.2598026}","{'text': 'Super Nice Rent a Car', 'languageCode': 'en'}",25.7999397,-80.2598026,20
"{'latitude': 25.7969309, 'longitude': -80.2597967}","{'text': 'Alamo Rent A Car', 'languageCode': 'en'}",25.7969309,-80.2597967,21
"{'latitude': 25.796645599999998, 'longitude': -80.2597243}","{'text': 'National Car Rental', 'languageCode': 'en'}",25.796645599999998,-80.2597243,21
"{'latitude': 25.6928613, 'longitude': -80.30495739999999}","{'text': 'Enterprise Rent-A-Car', 'languageCode': 'en'}",25.6928613,-80.30495739999999,0
"{'latitude': 25.799739799999998, 'longitude': -80.2613587}","{'text': 'Florida Premium Rentacar', 'languageCode': 'en'}",25.799739799999998,-80.2613587,20
"{'latitude': 25.799419399999998, 'longitude': -80.2610222}","{'text': 'Via Rent a Car Miami', 'languageCode': 'es'}",25.799419399999998,-80.2610222,20
"{'latitude': 25.7975032, 'longitude': -80.2597108}","{'text': 'Car Rental Miami Airport', 'languageCode': 'en'}",25.7975032,-80.2597108,21
"{'latitude': 25.867646699999998, 'longitude': -80.2655193}","{'text': 'RENT AND GO CARS, LLC', 'languageCode': 'en'}",25.867646699999998,-80.2655193,44
"{'latitude': 25.800673999999997, 'longitude': -80.26162599999999}","{'text': 'Loop Rent a Car', 'languageCode': 'es'}",25.800673999999997,-80.26162599999999,20
"{'latitude': 25.8001774, 'longitude': -80.2607843}","{'text': 'Car Rental Airport LLC', 'languageCode': 'en'}",25.8001774,-80.2607843,20
"{'latitude': 25.799338, 'longitude': -80.26082}","{'text': 'Mundocar Rental', 'languageCode': 'en'}",25.799338,-80.26082,20
"{'latitude': 25.7997151, 'longitude': -80.2621223}","{'text': 'OC Car Rental', 'languageCode': 'en'}",25.7997151,-80.2621223,20
"{'latitude': 25.7993132, 'longitude': -80.2618049}","{'text': 'Renta Florida', 'languageCode': 'en'}",25.7993132,-80.2618049,20
"{'latitude': 25.796916099999997, 'longitude': -80.259794}","{'text': 'Enterprise Rent-A-Car', 'languageCode': 'en'}",25.796916099999997,-80.259794,21
"{'latitude': 25.7994326, 'longitude': -80.2617677}","{'text': 'Miami Rent A Car Plus', 'languageCode': 'en'}",25.7994326,-80.2617677,20
"{'latitude': 25.801307599999998, 'longitude': -80.2619916}","{'text': 'Pop Car Rental', 'languageCode': 'en'}",25.801307599999998,-80.2619916,20
"{'latitude': 25.797131099999998, 'longitude': -80.2608274}","{'text': 'Miami Car Rental Center & Tours', 'languageCode': 'en'}",25.797131099999998,-80.2608274,21
"{'latitude': 25.8000536, 'longitude': -80.2604934}","{'text': 'Renta Car Miami', 'languageCode': 'es'}",25.8000536,-80.2604934,20
"{'latitude': 25.7969552, 'longitude': -80.26088100000001}","{'text': 'SIXT Rent a Car', 'languageCode': 'en'}",25.7969552,-80.26088100000001,21
"{'latitude': 25.7971194, 'longitude': -80.2599846}","{'text': 'Advantage', 'languageCode': 'en'}",25.7971194,-80.2599846,21
"{'latitude': 25.799752800000004, 'longitude': -80.26178399999999}","{'text': 'Supreme Rent A Car', 'languageCode': 'en'}",25.799752800000004,-80.26178399999999,20
"{'latitude': 25.7890118, 'longitude': -80.1933436}","{'text': 'All Access Rentals', 'languageCode': 'en'}",25.7890118,-80.1933436,5
"{'latitude': 25.6929104, 'longitude': -80.30509119999999}","{'text': 'Budget Car Rental', 'languageCode': 'en'}",25.6929104,-80.30509119999999,0
"{'latitude': 25.693030099999998, 'longitude': -80.3051235}","{'text': 'Avis Car Rental', 'languageCode': 'en'}",25.693030099999998,-80.3051235,0
"{'latitude': 25.7825842, 'longitude': -80.2644787}","{'text': 'Enterprise Rent-A-Car', 'languageCode': 'en'}",25.7825842,-80.2644787,34
"{'latitude': 25.7825987, 'longitude': -80.2644583}","{'text': 'Rental Cars', 'languageCode': 'en'}",25.7825987,-80.2644583,34
"{'latitude': 25.7915404, 'longitude': -80.1859581}","{'text': 'Enterprise Rent-A-Car', 'languageCode': 'en'}",25.7915404,-80.1859581,41
"{'latitude': 25.936932, 'longitude': -80.12065}","{'text': 'Budget Car Rental', 'languageCode': 'en'}",25.936932,-80.12065,22
"{'latitude': 25.7604836, 'longitude': -80.1909065}","{'text': 'Flo Car Rental', 'languageCode': 'es'}",25.7604836,-80.1909065,9
"{'latitude': 25.761999199999998, 'longitude': -80.1923449}","{'text': 'Brickell Exotic Rental', 'languageCode': 'en'}",25.761999199999998,-80.1923449,9
"{'latitude': 25.762477399999998, 'longitude': -80.1912988}","{'text': 'Enterprise Rent-A-Car', 'languageCode': 'en'}",25.762477399999998,-80.1912988,9
"{'latitude': 25.789012699999997, 'longitude': -80.1933474}","{'text': 'Miami Exotic Car Rental VIP', 'languageCode': 'en'}",25.789012699999997,-80.1933474,5
"{'latitude': 25.8147198, 'longitude': -80.12300130000001}","{'text': 'SIXT Rent a Car', 'languageCode': 'en'}",25.8147198,-80.12300130000001,15
