location,displayName
"{'latitude': 25.762798300000004, 'longitude': -80.3056549}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.7694467, 'longitude': -80.3305037}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.7940465, 'longitude': -80.2782271}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.808793899999998, 'longitude': -80.3157635}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.738904299999998, 'longitude': -80.23941839999999}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.823294999999998, 'longitude': -80.2709223}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.7989176, 'longitude': -80.3377323}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.6951325, 'longitude': -80.2999216}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.732379299999998, 'longitude': -80.3558734}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.764536099999997, 'longitude': -80.1957966}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.746401600000002, 'longitude': -80.36896949999999}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.7928289, 'longitude': -80.3694376}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.7946803, 'longitude': -80.27915899999999}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.6870601, 'longitude': -80.3528272}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.7979068, 'longitude': -80.2822515}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.787398699999997, 'longitude': -80.2123027}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.831703899999997, 'longitude': -80.21630669999999}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.7013251, 'longitude': -80.36941499999999}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.7597915, 'longitude': -80.3714404}","{'text': ""Dunkin' at FIU PG5"", 'languageCode': 'en'}"
"{'latitude': 25.8676425, 'longitude': -80.2656519}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.7940465, 'longitude': -80.2782271}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
"{'latitude': 25.7979068, 'longitude': -80.2822515}","{'text': ""Dunkin'"", 'languageCode': 'en'}"
