cluster,north_latitude,north_longitude,south_latitude,south_longitude,east_latitude,east_longitude,west_latitude,west_longitude
0,25.9926377,-80.14399420000001,25.5374965,-80.372039,25.954473999999998,-80.11974029999999,25.753971,-80.411017
1,25.658305799999997,-80.4188422,25.6464565,-80.4283738,25.658305799999997,-80.4188422,25.647822599999998,-80.4317717
2,26.0726776,-80.1433636,26.0719803,-80.1500977,26.072622799999998,-80.1360828,26.072498799999998,-80.15653429999999
3,25.9108087,-80.2616501,25.8967864,-80.2756328,25.9108087,-80.2616501,25.9074498,-80.2774304
4,25.815228299999998,-80.38225469999999,25.807539499999997,-80.3847571,25.8109011,-80.38192839999999,25.8078433,-80.3868432
5,25.940576399999998,-80.27512159999999,25.936757,-80.27716099999999,25.940576399999998,-80.27512159999999,25.939902099999998,-80.2811009
6,25.573992,-80.32425099999999,25.5697288,-80.3273468,25.5715501,-80.3202244,25.5697288,-80.3273468
7,25.790962999999998,-80.167621,25.7831174,-80.1622064,25.7906105,-80.1589065,25.7847182,-80.1764378
8,25.714681,-80.15351900000002,25.675712899999997,-80.1606552,25.714681,-80.15351900000002,25.687074,-80.17170949999999
9,25.471691,-80.475151,25.4618,-80.482258,25.4712923,-80.46881610000001,25.4618,-80.482258
10,25.638358999999998,-80.2899693,25.632608800000003,-80.30261209999999,25.638358999999998,-80.2899693,25.632608800000003,-80.30261209999999
