ZIP,LAT,LNG,Polygon
33010,25.833202,-80.27872,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33012,25.866106,-80.301115,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33013,25.86219,-80.269677,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33101,25.779298,-80.198739,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33109,25.756717,-80.140066,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33122,25.794856,-80.288375,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33125,25.783849,-80.23609,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33126,25.7794,-80.299475,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33127,25.813175,-80.205808,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33128,25.776168,-80.203733,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33129,25.750167,-80.190028,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33130,25.768524,-80.203359,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33131,25.766206,-80.182897,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33132,25.77789,-80.176165,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33133,25.728662,-80.239996,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33134,25.753332,-80.270379,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33135,25.766544,-80.235095,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33136,25.787182,-80.204722,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33137,25.816281,-80.171528,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33138,25.853764,-80.178006,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33139,25.779808,-80.1532,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33140,25.819714,-80.133711,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33141,25.851854,-80.138726,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33142,25.812043,-80.238614,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33143,25.703032,-80.297375,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33144,25.763458,-80.312667,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33145,25.753132,-80.234427,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33146,25.72085,-80.272571,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33147,25.851225,-80.238166,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33149,25.719513,-80.168541,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33150,25.85219,-80.207174,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33154,25.883337,-80.131831,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33155,25.736887,-80.310768,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33156,25.668203,-80.29701,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33161,25.893664,-80.181539,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33166,25.827855,-80.316183,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33167,25.884867,-80.239362,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33168,25.893051,-80.209181,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
33181,25.897992,-80.152331,"[(25.906627536231884, -80.03087838482688), (25.61677246376812, -80.03087838482688), (25.61677246376812, -80.35272161517312), (25.906627536231884, -80.35272161517312)]"
