zipcode,latitude,longitude,population,income
33010,25.833202,-80.27872,43902,41053
33012,25.866106,-80.301115,70260,41921
33013,25.86219,-80.269677,31068,54842
33101,25.779298,-80.198739,7,-
33109,25.756717,-80.140066,684,"250,000+"
33122,25.794856,-80.288375,2126,84329
33125,25.783849,-80.23609,53507,37370
33126,25.7794,-80.299475,48751,51733
33127,25.813175,-80.205808,27692,39690
33128,25.776168,-80.203733,8213,33697
33129,25.750167,-80.190028,15218,93343
33130,25.768524,-80.203359,35609,55285
33131,25.766206,-80.182897,26213,121730
33132,25.77789,-80.176165,18159,101518
33133,25.728662,-80.239996,34141,87924
33134,25.753332,-80.270379,38739,82925
33135,25.766544,-80.235095,36232,35185
33136,25.787182,-80.204722,15439,35129
33137,25.816281,-80.171528,25763,71348
33138,25.853764,-80.178006,27601,58990
33139,25.779808,-80.1532,36286,60971
33140,25.819714,-80.133711,19315,98935
33141,25.851854,-80.138726,35995,61205
33142,25.812043,-80.238614,55425,35589
33143,25.703032,-80.297375,34853,78525
33144,25.763458,-80.312667,25814,58382
33145,25.753132,-80.234427,29737,68717
33146,25.72085,-80.272571,16468,125720
33147,25.851225,-80.238166,48823,45092
33149,25.719513,-80.168541,14847,169792
33150,25.85219,-80.207174,28703,33629
33154,25.883337,-80.131831,14792,75540
33155,25.736887,-80.310768,43695,82321
33156,25.668203,-80.29701,34036,133862
33161,25.893664,-80.181539,53015,49159
33166,25.827855,-80.316183,26106,74819
33167,25.884867,-80.239362,19142,56044
33168,25.893051,-80.209181,24715,55866
33181,25.897992,-80.152331,20955,54618
